Folder,Islet,Glucose,Capillaries,Avg_Total_Oxygen,Avg_Medium_Oxygen,Num_Cells,Num_Alpha,Num_Beta,Num_Delta,Avg_Cell_Oxygen,Avg_Alpha_Oxygen,Avg_Beta_Oxygen,Avg_Delta_Oxygen,Functional_Prop,Hypoxic_Prop,Non_Viable_Prop,Functional_Alpha_Prop,Hypoxic_Alpha_Prop,Non_Viable_Alpha_Prop,Functional_Beta_Prop,Hypoxic_Beta_Prop,Non_Viable_Beta_Prop,Functional_Delta_Prop,Hypoxic_Delta_Prop,Non_Viable_Delta_Prop
H55_25_capilares_G6_Rep_1,H55,G6,25,19.5865,20.1704,2084,1168,642,274,5.545709980806143,4.395842979452054,5.990769314641743,9.404529562043791,0.236084452975048,0.4908829174664108,0.27303262955854124,0.1797945205479452,0.5051369863013698,0.3150684931506849,0.24922118380062305,0.5186915887850467,0.23208722741433022,0.44525547445255476,0.36496350364963503,0.1897810218978102
H51_100_capilares_G6_Rep_1,H51,G6,100,28.9511,29.0332,583,316,148,119,24.62971732418527,23.60428734177216,25.77729256756757,25.925471428571424,0.9948542024013722,0.005145797598627788,0.0,0.990506329113924,0.00949367088607595,0.0,1.0,0.0,0.0,1.0,0.0,0.0
H53_50_capilares_G20_Rep_1,H53,G20,50,20.3346,20.9005,3222,1523,1082,617,3.945282184978265,3.3688240971766237,4.32118022181146,4.709016369529986,0.15207945375543142,0.5223463687150838,0.3255741775294848,0.11556139198949442,0.5673013788575181,0.31713722915298753,0.18391866913123844,0.455637707948244,0.36044362292051757,0.18638573743922204,0.5283630470016207,0.2852512155591572
H56_5_capilares_G6_Rep_1,H56,G6,5,7.3872,7.6801,2841,1355,830,656,0.7968151003167877,0.5879033948339485,0.9281991566265047,1.0620995426829254,0.022175290390707498,0.12284406898979233,0.8549806406195002,0.013284132841328414,0.11512915129151291,0.8715867158671586,0.03132530120481928,0.11204819277108434,0.8566265060240964,0.028963414634146343,0.1524390243902439,0.8185975609756098
H53_5_capilares_G6_Rep_1,H53,G6,5,9.3198,9.6789,3222,1523,1082,617,0.4556138733705773,0.2778337491792514,0.5395436229205182,0.7472623987034039,0.011483550589695841,0.12538795779019243,0.8631284916201117,0.004596191726854892,0.10833880499015101,0.8870650032829941,0.015711645101663587,0.12107208872458411,0.8632162661737524,0.02106969205834684,0.17504051863857376,0.8038897893030794
H54_25_capilares_G20_Rep_1,H54,G20,25,16.4824,17.0382,3516,2209,961,346,2.192980631399318,1.9679390221819846,2.3962684703433905,3.065111560693641,0.06996587030716724,0.3848122866894198,0.5452218430034129,0.0615663196016297,0.37301946582163875,0.5654142145767316,0.07908428720083246,0.38189386056191466,0.5390218522372529,0.09826589595375723,0.4682080924855491,0.43352601156069365
H51_50_capilares_G20_Rep_1,H51,G20,50,24.6171,24.9572,583,316,148,119,9.345354030874786,7.710844620253168,11.64686148648649,10.823352941176472,0.4065180102915952,0.49914236706689535,0.09433962264150944,0.3259493670886076,0.5537974683544303,0.12025316455696203,0.5067567567567568,0.41216216216216217,0.08108108108108109,0.4957983193277311,0.46218487394957986,0.04201680672268908
H52_300_capilares_G6_Rep_1,H52,G6,300,29.2662,29.3432,2252,1461,427,364,26.092504351687353,25.59610807665977,26.921926463700213,27.111932142857132,0.9955595026642984,0.004440497335701598,0.0,0.9938398357289527,0.006160164271047228,0.0,0.9976580796252927,0.00234192037470726,0.0,1.0,0.0,0.0
H51_5_capilares_G6_Rep_1,H51,G6,5,11.8628,12.1055,583,316,148,119,2.7118970840480285,2.584769303797468,4.061268243243242,1.3712705882352938,0.10120068610634649,0.3379073756432247,0.5608919382504288,0.08860759493670886,0.38924050632911394,0.5221518987341772,0.17567567567567569,0.3310810810810811,0.49324324324324326,0.04201680672268908,0.21008403361344538,0.7478991596638656
H55_50_capilares_G20_Rep_1,H55,G20,50,21.8006,22.3619,2084,1168,642,274,7.24968598848368,5.542460017123283,9.641653738317746,8.922666423357676,0.30614203454894434,0.6074856046065259,0.08637236084452975,0.2054794520547945,0.6917808219178082,0.10273972602739725,0.4454828660436137,0.4937694704049844,0.06074766355140187,0.40875912408759124,0.5145985401459854,0.07664233576642336
